route_name,area,vision_score,confidence,tier,sidewalk,buffer,notes,n_images,image_dates
walkability_anchors:high#1,walkability_anchors · high#1,87,sure,buffered,yes,planting,Boylston/Common corridor: 2024 stop shows a leafy car-free path INSIDE the Common; street stops wide+retail. Dashcam-only pass under-read this route.,1,2019-12-22
walkability_anchors:high#0,walkability_anchors · high#0,88,sure,buffered,yes,car_free,"2024/2025 daylight: car-free path through the Common (benches, lawns), Beacon St parkside, Beacon Hill brick + gas lamps. Replaces the unusable night image.",2,2023-08-17 2025-06-19
walkability_anchors:high#2,walkability_anchors · high#2,88,sure,buffered,yes,planting,"2023 stop is INSIDE the Public Garden (paths, benches, crowds); Boylston retail sidewalk excellent. Up from dashcam-only 86.",1,2025-06-20
walkability_anchors:high#3,walkability_anchors · high#3,87,sure,buffered,yes,planting,Comm Ave Mall corner: 2024 GoPro shows generous Back Bay sidewalks behind parked cars + hedges; Arlington crossings remain the drag. (2024 image EXIF-rotated - fix shipped.),2,2017-10-12 2023-03-23
data_seam_straddling:seam#2,data_seam_straddling · seam#2,82,sure,good,yes,planting,"6/6 imaged: calm Cambridge/Somerville residential, 2026 green bike lanes, one true car-free Community Path stretch, plowed winter sidewalks. Solid but not park-grade throughout.",6,2017-10-09 2019-12-21 2019-12-22 2020-01-20 2021-02-20 2026-06-25
data_seam_straddling:seam#5,data_seam_straddling · seam#5,74,rough,mixed,yes,planting,"W.Roxbury/Roslindale collector (stone walls, bus) + Jamaicaway-style parkway stretch (fast, divided) + lovely JP side streets; 3/6 seen.",3,2017-10-06 2024-03-14 2025-10-29
over_water_crossing:water#1,over_water_crossing · water#1,76,sure,mixed,yes,none,"2023 panos ON Harvard Bridge: narrow-ish walk, queued 4-lane traffic, full river exposure; Comm Ave Mall approach lovely. Confirms prior 76.",1,2023-03-23
over_water_crossing:water#0,over_water_crossing · water#0,78,sure,good,yes,parked_cars,"Comm Ave Mall (pano) + MIT frontage + same bridge as water#1; ends strong, crossing exposed. Confirms 78.",3,2017-10-10 2020-02-15 2023-03-23
walkability_anchors:low#1,walkability_anchors · low#1,73,sure,mixed,yes,planting,"Boston/College Ave @ Powder House (Tufts): calm 2-lane, tree-lawn sidewalks; 2024 KartaView shows new quick-build calming that 2018 Mapillary predates - imagery age matters here.",3,2018-08-24
walkability_anchors:low#2,walkability_anchors · low#2,73,sure,mixed,yes,planting,"Same corridor as low#1, same evidence.",3,2018-08-24
walkability_anchors:low#0,walkability_anchors · low#0,73,sure,mixed,yes,planting,"Reverse direction, same evidence.",3,2018-08-24
data_seam_straddling:seam#4,data_seam_straddling · seam#4,73,rough,mixed,yes,none,South End Tremont high-80s blocks + Kendall/Binney modern sidewalks + exposed Harvard Bridge; v3 pick replaced the off-route tunnel frame with a surface intersection (green bike crossings).,5,2017-10-11 2017-10-12 2020-01-15 2023-03-24 2026-06-05
over_water_crossing:water#3,over_water_crossing · water#3,70,rough,mixed,yes,separated,"Kendall office canyon (sterile, fine) -> excellent new North Point shared path (2025) -> car-oriented Land Blvd overpass; dam crossing itself unseen.",2,2020-01-15 2025-06-18
over_water_crossing:water#4,over_water_crossing · water#4,68,rough,mixed,yes,separated,Kendall pristine wide sidewalks + MIT Killian Court lawns (2024/2025); unseen Charlesgate/Bowker stretch (prior pass: highway trench) keeps it hedged down.,4,2015-02-25 2023-03-23 2023-07-11 2024-04-17
data_seam_straddling:seam#3,data_seam_straddling · seam#3,72,rough,mixed,yes,planting,"Allston triple-decker streets, Harvard-area courtyard+crosswalks all pleasant; Memorial Dr riverside stretch weaker; 4/6 seen (one pick an off-route campus garden path).",5,2017-10-09 2019-12-21 2024-03-14 2024-03-21 2025-07-25
over_water_crossing:water#2,over_water_crossing · water#2,60,rough,poor,yes,separated,"Leverett Circle mega-intersection + Land Blvd office walls; stop1 pick is a dashcam INSIDE the tunnel under the route (off-route). Heavy-infrastructure crossing, functional but grim.",2,2023-03-24 2024-08-02
data_seam_straddling:seam#1,data_seam_straddling · seam#1,38,sure,hostile,partial,none,"5/6 imaged, consistently bleak: truss-bridge walk, Charlestown side street (2015 image - 11yr old), then power-plant yards, barbed wire, big-box parking, Tobin underbelly. Industrial logistics wasteland.",5,2015-01-14 2017-10-11 2018-03-10 2025-04-13
data_seam_straddling:seam#0,data_seam_straddling · seam#0,45,rough,poor,partial,none,"Brickbottom/Inner Belt industrial yards: chain-link, trailers, broken wet pavement, no ped amenities; one street has a flex-post bike lane. Down from 50 with fuller evidence.",3,2017-10-03 2017-10-10 2025-11-04
